"","X.1","X","pop","abs","tempo","conc","experiment","abs_norm","n_base","n_parasitos"
"76",76,76,"C58",0.402,1,0,"EXP2",0.4064,5e+05,5e+05
"77",77,77,"C67",0.209,1,0,"EXP2",0.321866666666667,5e+05,5e+05
"78",78,78,"C73",0.247,1,0,"EXP2",0.401133333333333,5e+05,5e+05
"79",79,79,"C85",0.574,1,0,"EXP2",0.327133333333333,5e+05,5e+05
"80",80,80,"C89",0.232,1,0,"EXP2",0.374266666666667,5e+05,5e+05
"81",81,81,"REF",0.238,1,0,"EXP2",0.351733333333333,5e+05,5e+05
"82",82,82,"GSH1",0.223,1,0,"EXP2",0.344466666666667,5e+05,5e+05
"83",83,83,"C6",0.223,1,0,"EXP2",0.303133333333333,5e+05,5e+05
"84",84,84,"C7",0.217,1,0,"EXP2",0.3604,5e+05,5e+05
"85",85,85,"C44",0.203,1,0,"EXP2",0.3204,5e+05,5e+05
"86",86,86,"C58",0.211,1,0,"EXP2",0.4064,5e+05,5e+05
"87",87,87,"C67",0.225,1,0,"EXP2",0.321866666666667,5e+05,5e+05
"88",88,88,"C73",0.226,1,0,"EXP2",0.401133333333333,5e+05,5e+05
"89",89,89,"C85",0.249,1,0,"EXP2",0.327133333333333,5e+05,5e+05
"90",90,90,"C89",0.227,1,0,"EXP2",0.374266666666667,5e+05,5e+05
"91",91,91,"REF",0.216,1,150,"EXP2",0.2474,5e+05,5e+05
"92",92,92,"GSH1",0.228,1,150,"EXP2",0.248533333333333,5e+05,5e+05
"93",93,93,"C6",0.236,1,150,"EXP2",0.2342,5e+05,5e+05
"94",94,94,"C7",0.23,1,150,"EXP2",0.223066666666667,5e+05,5e+05
"95",95,95,"C44",0.203,1,150,"EXP2",0.213066666666667,5e+05,5e+05
"96",96,96,"C58",0.221,1,150,"EXP2",0.229266666666667,5e+05,5e+05
"97",97,97,"C67",0.218,1,150,"EXP2",0.2242,5e+05,5e+05
"98",98,98,"C73",0.21,1,150,"EXP2",0.2504,5e+05,5e+05
"99",99,99,"C85",0.244,1,150,"EXP2",0.237733333333333,5e+05,5e+05
"100",100,100,"C89",0.227,1,150,"EXP2",0.232266666666667,5e+05,5e+05
"101",101,101,"REF",0.228,1,150,"EXP2",0.2474,5e+05,5e+05
"102",102,102,"GSH1",0.235,1,150,"EXP2",0.248533333333333,5e+05,5e+05
"103",103,103,"C6",0.239,1,150,"EXP2",0.2342,5e+05,5e+05
"104",104,104,"C7",0.223,1,150,"EXP2",0.223066666666667,5e+05,5e+05
"105",105,105,"C44",0.204,1,150,"EXP2",0.213066666666667,5e+05,5e+05
"106",106,106,"C58",0.211,1,150,"EXP2",0.229266666666667,5e+05,5e+05
"107",107,107,"C67",0.215,1,150,"EXP2",0.2242,5e+05,5e+05
"108",108,108,"C73",0.251,1,150,"EXP2",0.2504,5e+05,5e+05
"109",109,109,"C85",0.248,1,150,"EXP2",0.237733333333333,5e+05,5e+05
"110",110,110,"C89",0.233,1,150,"EXP2",0.232266666666667,5e+05,5e+05
"111",111,111,"REF",0.27,1,150,"EXP2",0.2474,5e+05,5e+05
"112",112,112,"GSH1",0.282,1,150,"EXP2",0.248533333333333,5e+05,5e+05
"113",113,113,"C6",0.273,1,150,"EXP2",0.2342,5e+05,5e+05
"114",114,114,"C7",0.302,1,150,"EXP2",0.223066666666667,5e+05,5e+05
"115",115,115,"C44",0.252,1,150,"EXP2",0.213066666666667,5e+05,5e+05
"116",116,116,"C58",0.247,1,150,"EXP2",0.229266666666667,5e+05,5e+05
"117",117,117,"C67",0.285,1,150,"EXP2",0.2242,5e+05,5e+05
"118",118,118,"C73",0.552,1,150,"EXP2",0.2504,5e+05,5e+05
"119",119,119,"C85",0.301,1,150,"EXP2",0.237733333333333,5e+05,5e+05
"120",120,120,"C89",0.304,1,150,"EXP2",0.232266666666667,5e+05,5e+05
"121",121,121,"REF",1.339,1,0,"EXP3",0.356133333333333,5e+05,5e+05
"122",122,122,"GSH1",0.384,1,0,"EXP3",0.300333333333333,5e+05,5e+05
"123",123,123,"C6",0.152,1,0,"EXP3",0.224533333333333,5e+05,5e+05
"124",124,124,"C7",1.317,1,0,"EXP3",0.368,5e+05,5e+05
"125",125,125,"C44",0.171,1,0,"EXP3",0.307266666666667,5e+05,5e+05
"126",126,126,"C58",0.165,1,0,"EXP3",0.240933333333333,5e+05,5e+05
"127",127,127,"C67",0.162,1,0,"EXP3",0.241,5e+05,5e+05
"128",128,128,"C73",0.143,1,0,"EXP3",0.2194,5e+05,5e+05
"129",129,129,"C85",0.154,1,0,"EXP3",0.225866666666667,5e+05,5e+05
"130",130,130,"C89",0.135,1,0,"EXP3",0.217466666666667,5e+05,5e+05
"131",131,131,"REF",0.748,1,0,"EXP3",0.356133333333333,5e+05,5e+05
"132",132,132,"GSH1",0.14,1,0,"EXP3",0.300333333333333,5e+05,5e+05
"133",133,133,"C6",0.17,1,0,"EXP3",0.224533333333333,5e+05,5e+05
"134",134,134,"C7",1.139,1,0,"EXP3",0.368,5e+05,5e+05
"135",135,135,"C44",0.596,1,0,"EXP3",0.307266666666667,5e+05,5e+05
"136",136,136,"C58",0.216,1,0,"EXP3",0.240933333333333,5e+05,5e+05
"137",137,137,"C67",0.323,1,0,"EXP3",0.241,5e+05,5e+05
"138",138,138,"C73",0.154,1,0,"EXP3",0.2194,5e+05,5e+05
"139",139,139,"C85",0.152,1,0,"EXP3",0.225866666666667,5e+05,5e+05
"140",140,140,"C89",0.14,1,0,"EXP3",0.217466666666667,5e+05,5e+05
"141",141,141,"REF",0.149,1,0,"EXP3",0.356133333333333,5e+05,5e+05
"142",142,142,"GSH1",0.855,1,0,"EXP3",0.300333333333333,5e+05,5e+05
"143",143,143,"C6",0.144,1,0,"EXP3",0.224533333333333,5e+05,5e+05
"144",144,144,"C7",0.144,1,0,"EXP3",0.368,5e+05,5e+05
"145",145,145,"C44",0.945,1,0,"EXP3",0.307266666666667,5e+05,5e+05
"146",146,146,"C58",0.305,1,0,"EXP3",0.240933333333333,5e+05,5e+05
"147",147,147,"C67",0.27,1,0,"EXP3",0.241,5e+05,5e+05
"148",148,148,"C73",0.15,1,0,"EXP3",0.2194,5e+05,5e+05
"149",149,149,"C85",0.31,1,0,"EXP3",0.225866666666667,5e+05,5e+05
"150",150,150,"C89",0.143,1,0,"EXP3",0.217466666666667,5e+05,5e+05
"151",151,151,"REF",0.148,1,150,"EXP3",0.1908,5e+05,5e+05
"152",152,152,"GSH1",0.156,1,150,"EXP3",0.2116,5e+05,5e+05
"153",153,153,"C6",0.371,1,150,"EXP3",0.202533333333333,5e+05,5e+05
"154",154,154,"C7",0.147,1,150,"EXP3",0.187933333333333,5e+05,5e+05
"155",155,155,"C44",0.15,1,150,"EXP3",0.185333333333333,5e+05,5e+05
"156",156,156,"C58",0.602,1,150,"EXP3",0.232266666666667,5e+05,5e+05
"157",157,157,"C67",0.172,1,150,"EXP3",0.194666666666667,5e+05,5e+05
