,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,285","0,292","0,273","0,278","0,279","0,277","0,289","0,25","0,257","0,251",
C,,"0,288","0,297","0,269","0,273","0,262","0,267","0,25","0,258","0,248","0,239",
D,,"0,267","0,242","0,251","0,257","0,248","0,274","0,252","0,255","0,236","0,232",
E,,"0,22","0,241","0,233","0,228","0,216","0,216","0,214","0,218","0,213","0,214",
F,,"0,259","0,233","0,237","0,22","0,224","0,216","0,209","0,213","0,211","0,207",
G,,"0,247","0,242","0,222","0,21","0,21","0,207","0,208","0,211","0,205","0,212",
H,,,,,,,,,,,,
