,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.209,0.239,0.2,0.194,0.207,0.212,0.225,0.204,0.199,0.195,
C,,0.203,0.247,0.205,0.201,0.198,0.206,0.212,0.203,0.201,0.209,
D,,0.206,0.246,0.202,0.199,0.204,0.205,0.206,0.208,0.211,0.215,
E,,0.21,0.231,0.198,0.199,0.199,0.208,0.207,0.213,0.204,0.212,
F,,0.143,0.215,0.198,0.207,0.203,0.217,0.223,0.218,0.207,0.216,
G,,0.185,0.227,0.201,0.211,0.212,0.244,0.247,0.22,0.213,0.228,
H,,,,,,,,,,,,
