,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,197","0,192","0,191","0,196","0,186","0,174","0,167","0,167","0,156","0,156",
C,,"0,19","0,161","0,17","0,195","0,193","0,174","0,169","0,179","0,171","0,16",
D,,"0,166","0,17","0,166","0,173","0,196","0,195","0,187","0,194","0,191","0,168",
E,,"0,17","0,166","0,161","0,173","0,186","0,191","0,196","0,191","0,193","0,186",
F,,"0,159","0,171","0,162","0,191","0,181","0,191","0,188","0,192","0,19","0,165",
G,,"0,16","0,166","0,179","0,179","0,179","0,191","0,182","0,187","0,189","0,167",
H,,,,,,,,,,,,
