,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,622","0,634","0,546","0,597","0,652","0,606","0,631","0,618","0,617","0,628",
C,,"0,62","0,612","0,587","0,599","0,668","0,613","0,634","0,589","0,621","0,537",
D,,"0,66","0,647","0,5","0,565","0,613","0,495","0,6","0,607","0,54","0,639",
E,,"0,365","0,375","0,324","0,297","0,305","0,374","0,356","0,369","0,373","0,343",
F,,"0,381","0,334","0,326","0,311","0,319","0,367","0,283","0,317","0,343","0,343",
G,,"0,373","0,383","0,347","0,317","0,292","0,356","0,325","0,342","0,371","0,337",
H,,,,,,,,,,,,
