,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"1,339","0,384","0,152","1,317","0,171","0,165","0,162","0,143","0,154","0,135",
C,,"0,748","0,14","0,17","1,139","0,596","0,216","0,323","0,154","0,152","0,14",
D,,"0,149","0,855","0,144","0,144","0,945","0,305","0,27","0,15","0,31","0,143",
E,,"0,148","0,156","0,371","0,147","0,15","0,602","0,172","0,148","0,664","0,149",
F,,"0,14","0,428","0,149","0,147","0,149","0,154","0,156","0,151","0,407","0,158",
G,,"0,149","0,142","0,149","0,147","0,141","0,279","0,147","0,236","0,23","0,275",
H,,,,,,,,,,,,
