,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,272","0,254","0,258","0,259","0,541","0,251","0,265","0,245","0,251","0,254",
C,,"0,271","0,263","0,238","0,255","0,263","0,248","0,311","0,253","0,252","0,253",
D,,"0,277","0,244","0,251","0,253","0,255","0,264","0,289","0,275","0,252","0,202",
E,,"0,277","0,254","0,27","0,285","0,283","0,276","0,274","0,279","0,283","0,22",
F,,"0,298","0,276","0,279","0,296","0,312","0,298","0,293","0,281","0,275","0,266",
G,,"0,32","0,386","0,3","0,284","0,295","0,283","0,288","0,291","0,273","0,318",
H,,,,,,,,,,,,
