,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,263","0,289","0,272","0,255","0,226","0,249","0,227","0,232","0,201","0,238",
C,,"0,256","0,289","0,239","0,237","0,234","0,249","0,233","0,229","0,201","0,234",
D,,"0,28","0,269","0,255","0,235","0,224","0,232","0,228","0,235","0,199","0,247",
E,,"0,222","0,201","0,201","0,194","0,187","0,192","0,196","0,207","0,202","0,212",
F,,"0,204","0,203","0,197","0,194","0,17","0,201","0,193","0,204","0,185","0,199",
G,,"0,203","0,22","0,196","0,196","0,194","0,201","0,195","0,162","0,331","0,157",
H,,,,,,,,,,,,
