,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,24","0,245","0,233","0,228","0,22","0,228","0,224","0,228","0,227","0,231",
C,,"0,233","0,235","0,227","0,222","0,225","0,223","0,223","0,219","0,24","0,227",
D,,"0,234","0,227","0,223","0,247","0,218","0,22","0,268","0,235","0,235","0,236",
E,,"0,213","0,215","0,209","0,207","0,206","0,207","0,216","0,212","0,219","0,227",
F,,"0,204","0,21","0,204","0,199","0,199","0,212","0,21","0,219","0,21","0,213",
G,,"0,204","0,219","0,199","0,199","0,192","0,201","0,202","0,208","0,208","0,214",
H,,,,,,,,,,,,
