,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.363,0.41,0.349,0.359,0.31,0.296,0.299,0.406,0.378,0.298,
C,,0.394,0.367,0.354,0.282,0.343,0.37,0.357,0.405,0.418,0.37,
D,,0.429,0.359,0.357,0.303,0.368,0.394,0.358,0.389,0.462,0.339,
E,,0.231,0.282,0.196,0.194,0.197,0.202,0.207,0.212,0.197,0.212,
F,,0.163,0.277,0.19,0.2,0.195,0.212,0.216,0.217,0.209,0.218,
G,,0.222,0.287,0.201,0.203,0.201,0.215,0.221,0.223,0.213,0.224,
H,,,,,,,,,,,,
