,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,455","0,405","0,398","0,404","0,442","0,364","0,434","0,404","0,157","0,463",
C,,"0,436","0,415","0,42","0,421","0,418","0,402","0,411","0,372","0,156","0,487",
D,,"0,453","0,396","0,404","0,421","0,464","0,392","0,488","0,367","0,159","0,448",
E,,"0,193","0,169","0,171","0,173","0,174","0,176","0,175","0,174","0,16","0,167",
F,,"0,191","0,172","0,171","0,177","0,172","0,171","0,18","0,175","0,163","0,172",
G,,"0,2","0,188","0,184","0,177","0,175","0,171","0,177","0,172","0,163","0,169",
H,,,,,,,,,,,,
