,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,34","0,366","0,265","0,316","0,315","0,359","0,337","0,328","0,288","0,259",
C,,"0,345","0,374","0,285","0,313","0,286","0,342","0,309","0,336","0,233","0,241",
D,,"0,406","0,343","0,234","0,286","0,303","0,321","0,294","0,324","0,213","0,244",
E,,"0,184","0,176","0,171","0,17","0,163","0,174","0,166","0,168","0,169","0,166",
F,,"0,184","0,205","0,172","0,168","0,17","0,171","0,164","0,173","0,167","0,166",
G,,"0,208","0,211","0,172","0,171","0,169","0,172","0,169","0,17","0,166","0,169",
H,,,,,,,,,,,,
