,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,0.335,0.337,0.278,0.266,0.285,0.279,0.291,0.29,0.27,0.253,
C,,0.307,0.333,0.282,0.266,0.276,0.297,0.289,0.298,0.284,0.278,
D,,0.303,0.326,0.273,0.266,0.288,0.288,0.292,0.294,0.291,0.261,
E,,0.279,0.321,0.252,0.255,0.258,0.269,0.262,0.271,0.25,0.227,
F,,0.153,0.326,0.245,0.259,0.261,0.28,0.27,0.271,0.22,0.237,
G,,0.23,0.311,0.25,0.255,0.264,0.278,0.268,0.265,0.23,0.207,
H,,,,,,,,,,,,
