,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,24","0,219","0,21","0,206","0,211","0,2","0,21","0,215","0,209","0,225",
C,,"0,26","0,225","0,22","0,218","0,204","0,201","0,214","0,213","0,206","0,217",
D,,"0,263","0,226","0,236","0,216","0,206","0,207","0,232","0,223","0,203","0,221",
E,,"0,249","0,229","0,236","0,219","0,214","0,21","0,224","0,224","0,211","0,233",
F,,"0,249","0,238","0,23","0,22","0,222","0,22","0,235","0,226","0,21","0,228",
G,,"0,256","0,236","0,232","0,228","0,227","0,216","0,219","0,217","0,209","0,232",
H,,,,,,,,,,,,
