,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,307","0,261","0,281","0,291","0,277","0,291","0,349","0,285","0,134","0,292",
C,,"0,319","0,286","0,318","0,323","0,214","0,329","0,341","0,299","0,138","0,292",
D,,"0,323","0,289","0,31","0,282","0,299","0,333","0,339","0,314","0,137","0,321",
E,,"0,159","0,143","0,144","0,143","0,15","0,153","0,153","0,156","0,137","0,142",
F,,"0,159","0,144","0,147","0,152","0,144","0,142","0,156","0,149","0,139","0,155",
G,,"0,163","0,152","0,149","0,149","0,146","0,148","0,149","0,152","0,137","0,144",
H,,,,,,,,,,,,
