,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,208","0,213","0,202","0,201","0,2","0,199","0,199","0,2","0,188","0,183",
C,,"0,205","0,216","0,205","0,214","0,197","0,202","0,193","0,197","0,181","0,178",
D,,"0,215","0,205","0,197","0,209","0,151","0,18","0,194","0,197","0,188","0,184",
E,,"0,194","0,197","0,192","0,151","0,141","0,146","0,182","0,189","0,184","0,183",
F,,"0,192","0,187","0,193","0,172","0,15","0,184","0,185","0,187","0,185","0,187",
G,,"0,19","0,199","0,176","0,176","0,178","0,177","0,184","0,186","0,186","0,193",
H,,,,,,,,,,,,
