,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,335","0,264","0,268","0,635","0,217","1,348","0,212","1,385","0,274","1,34",
C,,"0,242","0,239","0,242","0,446","0,212","0,402","0,209","0,247","0,574","0,232",
D,,"0,238","0,223","0,223","0,217","0,203","0,211","0,225","0,226","0,249","0,227",
E,,"0,216","0,228","0,236","0,23","0,203","0,221","0,218","0,21","0,244","0,227",
F,,"0,228","0,235","0,239","0,223","0,204","0,211","0,215","0,251","0,248","0,233",
G,,"0,27","0,282","0,273","0,302","0,252","0,247","0,285","0,552","0,301","0,304",
H,,,,,,,,,,,,
