,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,336","0,357","0,317","0,3","0,305","0,321","0,298","0,29","0,303","0,323",
C,,"0,346","0,355","0,304","0,31","0,343","0,342","0,33","0,311","0,322","0,311",
D,,"0,365","0,337","0,305","0,322","0,327","0,321","0,306","0,325","0,326","0,313",
E,,"0,25","0,229","0,224","0,222","0,217","0,216","0,23","0,233","0,229","0,221",
F,,"0,227","0,227","0,222","0,214","0,215","0,222","0,218","0,226","0,227","0,217",
G,,"0,209","0,221","0,215","0,21","0,214","0,224","0,219","0,159","0,212","0,154",
H,,,,,,,,,,,,
