,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,"0,253","0,216","0,225","0,208","0,22","0,208","0,257","0,213","0,188","0,212",
C,,"0,292","0,226","0,231","0,238","0,208","0,222","0,266","0,223","0,182","0,214",
D,,"0,295","0,226","0,244","0,22","0,221","0,232","0,263","0,225","0,184","0,233",
E,,"0,225","0,208","0,208","0,211","0,204","0,205","0,217","0,208","0,191","0,196",
F,,"0,232","0,207","0,209","0,209","0,201","0,206","0,219","0,211","0,194","0,209",
G,,"0,223","0,212","0,211","0,217","0,208","0,209","0,216","0,208","0,192","0,204",
H,,,,,,,,,,,,
